1,9.79,9.2,-22,-0.539897289
2,9.47,7.42,-37,-2.118921474
3,9.21,5.84,-50,-3.956935662
4,9.03,4.53,-60,-5.991790966
5,8.91,3.45,-67,-8.241172179
6,8.81,2.61,-72,-10.56670802
7,8.84,1.93,-78,-13.21789912
8,8.77,1.32,-82,-16.44851324
9,8.52,0.77,-84,-20.87897739
9.5,8.47,0.55,-85,-23.75041442
10,8.52,0.33,-86,-28.2385131
10.2,8.51,0.25,-87,-30.63979103
10.4,8.49,0.17,-88,-33.96917538
10.6,8.53,0.088,-89,-39.72932718
10.8,8.62,0.008,-90,-60.64834558
11,8.59,0.08,88,-40.61806354
11.2,8.59,0.153,87,-34.98603466
11.4,8.57,0.24,88,-31.0553916
11.6,8.55,0.31,88,-28.81208842
11.8,8.52,0.385,86,-26.89957731
12,8.51,0.453,87,-25.47662716
13,8.47,0.79,84,-20.60512638
14,8.41,1.1,83,-17.66806621
15,8.35,1.37,78,-15.69931817
16,8.3,1.64,78,-14.08468489
17,8.25,1.9,76,-12.75400695
18,8.2,2.1,75,-11.83189115
19,8.14,2.3,73,-10.97793138
20,8.1,2.5,72,-10.2109002
25,7.8,3.3,65,-7.471613256
30,7.75,3.9,58,-5.96474191
35,7.5,4.4,54,-4.632171738
40,7.3,4.7,50,-3.824500044
50,7.1,5.2,42,-2.705100102
